ImageURL,Name,URL
https://cdn.myanimelist.net/images/anime/12/68055.jpg,That one Plygamy one with 100,https://hianime.to/the-100-girlfriends-who-really-really-really-really-really-love-you-18580
https://cdn.myanimelist.net/images/anime/1319/140965.jpg,Butareba -The Story of a Man Who Turned into a Pig,https://hianime.to/butareba-the-story-of-a-man-who-turned-into-a-pig-18603
https://cdn.myanimelist.net/images/anime/1951/138462.jpg,Berserk of Gluttony,https://hianime.to/berserk-of-gluttony-18593
