ImageURL,Name,URL
,Rooster Fighter,https://aniwatchtv.to/rooster-fighter-20566?ref=search
,Liar Game English,https://aniwatchtv.to/liar-game-20611
,Marriagetoxin,https://allmanga.to/bangumi/2NxpL4ikTQvnri9Cm
,Botan Kamiina Fully Blossoms When Drunk,https://aniwatchtv.to/botan-kamiina-fully-blossoms-when-drunk-20671
,"Kujima: Why Sing, When You Can Warble?",https://aniwatchtv.to/kujima-why-sing-when-you-can-warble-20734?ref=search
,Toaru Kagaku no Railgun S,https://allmanga.to/bangumi/nfATrGGCBS3NMJXdS
,Toaru Kagaku no Railgun T,https://isekai2nd.com/30-recommended-anime-on-amazon-prime-video-popular-works-that-both-children-and-adults-can-enjoy
,The Ramparts of Ice,https://allmanga.to/bangumi/Frp8xJDSeLh6wEHNk
,Jujutsu Kaisen,https://anigo.to/watch/jujutsu-kaisen-r6w8#ep=24
,Kanan-sama wa Akumade Choroi,https://allmanga.to/bangumi/d3oFDagz5LvzmQANG
,Aishiteru Game wo Owarasetai,https://allmanga.to/bangumi/4WHmErbXS5ZvygpCT
,Class de 2-banme ni Kawaii Onnanoko to Tom,https://allmanga.to/bangumi/gdcikK9DNZ5b3fKpR
,"Replica datte, Koi wo Suru.",https://youtu-chan.com/archives/18653
,Tsue to Tsurugi no Wistoria,https://youtu-chan.com/archives/18646
,Koori no Jouheki,https://isekai2nd.com/38-recommended-manga-that-can-be-completed-within-10-volumes-introducing-masterpieces-that-have-also-been-made-into-anime
