ImageURL,Name,URL
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx139-qiFhjx4o1sKI.png,HxH,https://hianime.to/hunter-x-hunter-2
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx129195-9BT4wE1QTLj2.jpg,My Friend's Little Sister Has It In for Me,https://hianime.to/my-friends-little-sister-has-it-in-for-me-17507
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx6213-QtrlDQnexApL.jpg,A Certain Scientific Railgun,https://aniwatchtv.to/a-certain-scientific-railgun-940
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/nx16049-FbOhOsQAuisF.jpg,A Certain Scientific Railgun S,https://anigo.to/watch/toaru-kagaku-no-railgun-s-r0p8#ep=9
https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/bx87395-axsA49kSZp72.jpg,Grand Blue Dreaming,https://hianime.to/grand-blue-dreaming-139
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx178005-pCEReATswrup.jpg,Tamon's B-Side,https://hianime.to/tamons-b-side-20353
https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/bx113075-TSlVz2Ai3A55.jpg,The Holy Grail of Eris,https://hianime.to/the-holy-grail-of-eris-20329
https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/nx106997-hl3Az5371own.jpg,Roll Over and Die,https://hianime.to/roll-over-and-die-20273
https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/bx141245-VD8Vd5lC5Z57.jpg,The Invisible Man and His Soon-to-Be Wife,https://hianime.to/the-invisible-man-and-his-soon-to-be-wife-20317
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx197731-6E0qjPFaNjC6.jpg,The Daily Life of a Part-time Torturer,https://hianime.to/the-daily-life-of-a-part-time-torturer-20229
https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b98314-TSJykxVwCCQN.jpg,Kakegurui,https://kakegurui.fandom.com/wiki/Kakegurui_(live_action)
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx190143-IqqbkMAF0GOo.jpg,Agents of the Four Seasons: Dance of Spring,https://aniwatchtv.to/agents-of-the-four-seasons-dance-of-spring-20650?ref=search
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx170068-ijY3tCP8KoWP.jpg,Frieren: Beyond Journey's End,https://aniwatchtv.to/frieren-beyond-journeys-end-18542
