ImageURL,Name,URL
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx170936-NlDYAjV86ljm.png,Plus-sized Misadventures in Love!,https://hianime.to/plus-sized-misadventures-in-love-19890
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx183965-7oMzkJp4FUyP.jpg,Yano-kun's Ordinary Days,https://hianime.to/yano-kuns-ordinary-days-19906
https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/bx165868-DzhFRVoy7rf4.jpg,"With You, Our Love Will Make It Through",https://hianime.to/with-you-our-love-will-make-it-through-19899
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx181447-aCmaQmtdwuU5.jpg,May I Ask for One Final Thing?,https://hianime.to/may-i-ask-for-one-final-thing-19927
