ImageURL,Name,URL
https://myanimelist.net/images/anime/1758/148719.jpg,Sakamoto Days Part 2,https://hianime.to/sakamoto-days-part-2-19787
https://myanimelist.net/images/anime/1108/150583.jpg,Grand Blue Dreaming Season 2,https://hianime.to/grand-blue-dreaming-season-2-19786
,Couple of Cuckoos 2,https://hianime.to/a-couple-of-cuckoos-season-2-19778
https://myanimelist.net/images/anime/1071/150808.jpg,Rent-a-Girlfriend Season 4,https://hianime.to/rent-a-girlfriend-season-4-19782
https://myanimelist.net/images/anime/1323/149460.jpg,Detectives These Days Are Crazy!,https://hianime.to/detectives-these-days-are-crazy-19756?ref=search
,Hell Teacher: Jigoku Sensei Nube,https://hianime.to/hell-teacher-jigoku-sensei-nube-19758
https://myanimelist.net/images/anime/1154/149614.jpg,7th Prince Season 2,https://hianime.to/i-was-reincarnated-as-the-7th-prince-so-i-can-take-my-time-perfecting-my-magical-ability-season-2-19781
,"Reborn as a Vending Machine, I Now Wander the Dungeon Season 2",https://hianime.to/reborn-as-a-vending-machine-i-now-wander-the-dungeon-season-2-19776
https://myanimelist.net/images/anime/6/85548.jpg,Welcome to the Outcast's Restaurant!,https://hianime.to/welcome-to-the-outcasts-restaurant-19751
https://myanimelist.net/images/anime/1721/149001.jpg,Dan Da Dan Season 2,https://hianime.to/dan-da-dan-season-2-19793
,Solo Camping for Two,https://hianime.to/solo-camping-for-two-19752
https://myanimelist.net/images/anime/1383/151072.jpg,The Water Magician,https://hianime.to/the-water-magician-19770
https://myanimelist.net/images/anime/1502/150545.jpg,Watari-kun's ****** Is about to Collapse,https://hianime.to/watari-kuns-is-about-to-collapse-19769
https://myanimelist.net/images/anime/1669/149732.jpg,Secrets of the Silent Witch,https://hianime.to/secrets-of-the-silent-witch-19777
https://myanimelist.net/images/anime/1518/149900.jpg,Betrothed to My Sister's Ex,https://hianime.to/betrothed-to-my-sisters-ex-19766
https://myanimelist.net/images/anime/1672/148193.jpg,Busu ni Hanataba wo,https://hianime.to/a-bouquet-for-an-ugly-girl-19767
https://myanimelist.net/images/anime/1744/150433.jpg,The Fragrant Flower Blooms with Dignity,https://hianime.to/the-fragrant-flower-blooms-with-dignity-19789
https://myanimelist.net/images/anime/1024/150787.jpg,My Dress-Up Darling Season 2,https://hianime.to/my-dress-up-darling-season-2-19794
https://myanimelist.net/images/anime/1177/150344.jpg,Kaiju No. 8 Season 2,https://hianime.to/kaiju-no-8-season-2-19792
https://myanimelist.net/images/anime/1445/150685.jpg,Private Tutor to the Duke's Daughter,https://hianime.to/private-tutor-to-the-dukes-daughter-19754
https://myanimelist.net/images/anime/1823/149858.jpg,Rascal Does Not Dream of Santa Claus,https://hianime.to/rascal-does-not-dream-of-santa-claus-19788
https://myanimelist.net/images/anime/1777/150455.jpg,The Stunned Hero and the Assassin Princesses,https://hianime.to/the-stunned-hero-and-the-assassin-princesses-19753
https://myanimelist.net/images/anime/1329/150512.jpg,With You and the Rain,https://hianime.to/with-you-and-the-rain-19762
https://myanimelist.net/images/anime/1072/149889.jpg,Scooped Up by an S-Rank Adventurer!,https://hianime.to/scooped-up-by-an-s-rank-adventurer-19764
https://myanimelist.net/images/anime/1900/150443.jpg,Hotel Inhumans,https://hianime.to/hotel-inhumans-19745
https://myanimelist.net/images/anime/1454/150515.jpg,"Uglymug, Epicfighter",https://hianime.to/uglymug-epicfighter-19747
https://myanimelist.net/images/anime/1411/150445.jpg,Nyaight of the Living Cat,https://hianime.to/nyaight-of-the-living-cat-19757
https://myanimelist.net/images/anime/1431/148742.jpg,Ruri Rocks,https://hianime.to/ruri-rocks-19763
,Dekin no Mogura: The Earthbound Mole,https://hianime.to/dekin-no-mogura-the-earthbound-mole-19755
