ImageURL,Name,URL,
https://myanimelist.net/images/anime/1446/131578.jpg,Ningen Fushin: Adventurers Who Don't Believe in Humanity Will Save the World,https://hianime.to/ningen-fushin-adventurers-who-dont-believe-in-humanity-will-save-the-world-18280,Season Favorite
https://myanimelist.net/images/anime/1645/112632.jpg,The Fruit of Grisaia,https://zoro.to/watch/the-fruit-of-grisaia-1337?ep=19354,Season Favorite
https://myanimelist.net/images/anime/3/47607.jpg,K-Project,https://zoro.to/watch/k-project-1461?ep=20470,inc
https://myanimelist.net/images/anime/1997/131327.jpg,Tsundere Akuyaku Reijou Liselotte to Jikkyou no Endou-kun to Kaisetsu no Kobayashi-san,https://animepahe.ru/anime/0f6cff3c-50f3-a9a8-0ed3-1e0b088ae80f,
https://myanimelist.net/images/anime/1763/108108.jpg,Golden Kamuy 3rd Season,https://animepahe.ru/anime/dd7ac2ae-8816-5179-49b2-ba89bc3378c3,
https://myanimelist.net/images/anime/1444/131828.jpg,Tomo-chan Is a Girl!,https://zoro.to/watch/tomochan-is-a-girl-18248?ep=97268,Nancy
https://myanimelist.net/images/anime/1240/133638.jpg,The Angel Next Door Spoils Me Rotten,https://zoro.to/watch/the-angel-next-door-spoils-me-rotten-18249?ep=97409,Season Favorite
https://myanimelist.net/images/anime/1384/127972.jpg,Initial D First Stage,https://hianime.to/initial-d-first-stage-236,Francis
