ImageURL,Name,URL,
https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/bx98351-cv6xQvSwK9GP.png,Laid-Back Camp,https://hianime.to/laid-back-camp-season-3-19141,prime
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx163623-pzR6vIHoJh0b.jpg,Giji Harem,https://myanimelist.net/anime/54968/Giji_Harem?q=Giji&cat=anime,prime
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx146066-zzKl6P6OeEjy.jpg,Classroom of the Elite III,https://hianime.to/classroom-of-the-elite-iii-18880,prime
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx171457-nmMIk0gNiWsm.jpg,Makeine: Too Many Losing Heroines!,https://hianime.to/makeine-too-many-losing-heroines-19235,prime
https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/bx87042-YmoExgrw2dKn.jpg,Alderamin on the Sky,https://hianime.to/alderamin-on-the-sky-903,prime
https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/bx111140-8DFuajKhr81o.png,"Mom, I'm Sorry",https://hianime.to/watch/mom-im-sorry-19166?ep=124532,prime
