ImageURL,Name,URL,
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx170936-NlDYAjV86ljm.png,Plus-sized Misadventures in Love!,https://hianime.to/plus-sized-misadventures-in-love-19890,
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx183965-7oMzkJp4FUyP.jpg,Yano-kun's Ordinary Days,https://hianime.to/yano-kuns-ordinary-days-19906,inc
https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/bx165868-DzhFRVoy7rf4.jpg,"With You, Our Love Will Make It Through",https://hianime.to/with-you-our-love-will-make-it-through-19899,Blanon
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx181447-aCmaQmtdwuU5.jpg,May I Ask for One Final Thing?,https://hianime.to/may-i-ask-for-one-final-thing-19927,Blanon
https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/bx69883-zDt4DUXkQS5N.png,AssClass,,Season Favorite
https://myanimelist.net/images/anime/1114/119526.jpg,The Daily Life of the Immortal King 3 ,,Season Favorite
https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/bx137080-Px2ywMbOyy7T.jpg,Alma-chan Wants to Be a Family,,dropped
https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/bx98900-gWu5sdWZ9kmO.jpg,"Gaikotsu Kishi-sama, Tadaima Isekai e Odekakechuu",,dropped
https://myanimelist.net/images/anime/1599/155164.jpg,A Wild Last Boss Appeared!,,dropped
https://myanimelist.net/images/anime/11/61039.jpg,The Irregular at Magic High School,,
https://myanimelist.net/images/anime/1488/150090.jpg,Fureru,,
