ImageURL,Name,URL,
https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/56762-IgJptNhMC0xX.jpg,Wise Man's Grandchild,https://hianime.to/wise-mans-grandchild-5498,
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx154214-Uf9x7mY4IJJr.jpg,I'm Giving the Disgraced Noble Lady I Rescued a Crash Course in Naughtiness,https://hianime.to/im-giving-the-disgraced-noble-lady-i-rescued-a-crash-course-in-naughtiness-18591?ref=search,Dropped
https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/bx122342-50btLRhAOhsk.jpg,Blue Box,https://hianime.to/blue-box-19326?ref=search,
https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/bx110769-78OPSrBh3I1w.png,Am I Actually the Strongest?,https://hianime.to/am-i-actually-the-strongest-18481,
https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/bx86337-mVvgNmZiqmco.png,"Good Bye, Dragon Life.",https://hianime.to/good-bye-dragon-life-19347?ref=search,Dropped
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx2034-erjg6gzDetAp.png,Lovely Complex,https://hianime.to/watch/lovely-complex-450?ep=9643,Blythe
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/nx17729-Xhgile3kCpqB.jpg,Le Fruit de la Grisaia,https://hianime.to/watch/the-fruit-of-grisaia-1337?ep=19342,Season Favorite
