ImageURL,Name,URL
,That one Plygamy one with 100,https://hianime.to/the-100-girlfriends-who-really-really-really-really-really-love-you-18580
https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/bx123562-atriMXmplUCt.jpg,Butareba,https://hianime.to/butareba-the-story-of-a-man-who-turned-into-a-pig-18603
https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/nx101625-kmxzdK6xnkUU.jpg,Berserk of Gluttony,https://hianime.to/berserk-of-gluttony-18593
https://cdn.myanimelist.net/images/anime/1915/137896.jpg,Under Ninja,
https://cdn.myanimelist.net/images/anime/1848/140019.jpg,Our Dating Story: The Experienced You and The Inexperienced Me,
