ImageURL,Name,URL,
https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/nx101722-pHTO1BXLLMf6.png,An Archdemon's Dilemma,https://hianime.to/watch/an-archdemons-dilemma-how-to-love-your-elf-bride-19130?ep=124728,Inc
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx170130-tvhn13WYQ2qM.jpg,Chillin' in Another World with Level 2 Super Cheat Powers,https://hianime.to/watch/chillin-in-another-world-with-level-2-super-cheat-powers-19129?ep=125451,
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx158709-WFA0RHloDvPl.jpg,Unnamed Memory,https://hianime.to/unnamed-memory-19135?ref=search,
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx153288-25FBfFJzEQ5O.jpg,Kaiju No. 8,https://hianime.to/watch/kaiju-no-8-19145?ep=123344,
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx158417-Ii0DOFwNim0A.jpg,Sentai Daishikkaku,https://hianime.to/go-go-loser-ranger-19139?ref=search,
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx178781-pbk5FgfiAJxS.jpg,Go! Go! Loser Ranger! Season 2,https://animepahe.ru/anime/e0ed6ecb-5dbc-e5fd-c665-fb10fb6bca49,
