ImageURL,Name,URL,
https://myanimelist.net/images/anime/1462/142547.jpg,Bartender: Glass of God ,https://hianime.to/watch/bartender-glass-of-god-19131?ep=123788,Top 20
https://myanimelist.net/images/anime/1251/136232.jpg,Sweet Reincarnation (Pas),https://hianime.to/sweet-reincarnation-18469?ref=search,
https://myanimelist.net/images/anime/1490/137816.jpg,The Great Cleric,https://hianime.to/watch/the-great-cleric-18471?ep=106612,Dropped
https://cdn.myanimelist.net/images/anime/1984/136274.jpg,Uchi no Kaisha no Chiisai Senpai no Hanashi,,
https://cdn.myanimelist.net/images/anime/1582/136325.jpg,Glasses - Suki na Ko ga Megane,,
https://cdn.myanimelist.net/images/anime/1239/134810.jpg,The Dreaming Boy is a Realist,,Season Favorite
https://cdn.myanimelist.net/images/anime/1413/152092.jpg,Vending Machine - Jidou Hanbaiki,,
https://cdn.myanimelist.net/images/anime/1147/122444.jpg,Watashi no Shiawase na Kekkon,,
https://cdn.myanimelist.net/images/anime/1579/136295.jpg,Level 1 dakedo Unique Skill de Saikyou desu,,
https://cdn.myanimelist.net/images/anime/1384/136408.jpg,Zom 100: Bucket List of the Dead,,Season Favorite
https://cdn.myanimelist.net/images/anime/10/86102.jpg,Four-Panel Heroes,,
https://cdn.myanimelist.net/images/anime/1667/135587.jpg,Masamune-kun's Revenge R..,,dropped
