ImageURL,Name,URL,
https://myanimelist.net/images/anime/1402/134007.jpg,Insomniacs After School,https://hianime.to/insomniacs-after-school-18344,Top 20
https://myanimelist.net/images/anime/1298/134178.jpg,Loving Yamada at Lv999,https://zoro.to/watch/loving-yamada-at-lv999-18341?ep=100509,Top 20
https://myanimelist.net/images/anime/1218/135107.jpg,Mashle: Magic and Muscles,https://zoro.to/watch/mashle-magic-and-muscles-18339?ep=101602,Season Favorite
https://cdn.myanimelist.net/images/anime/1812/134736.jpg,Oshi no Ko,,
https://cdn.myanimelist.net/images/anime/1070/134906.jpg,The Girl Downstairs,,
https://cdn.myanimelist.net/images/anime/1121/133132.jpg,Heavenly Delusion,,
