ImageURL,Name,URL,
https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/bx116401-PdVZJ3G432Qj.png,365 Days to the Wedding,https://hianime.to/365-days-to-the-wedding-19332?ref=search,Season Favorite
https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/bx107541-rDxqLMxDxZXs.jpg,Loner Life in Another World,https://myanimelist.net/manga/118251/Hitoribocchi_no_Isekai_Kouryaku?q=%20Loner%20Life%20in%20Another%20World%20&cat=manga,
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx166240-PBV7zukIHW7V.png,Demon Slayer: Kimetsu no Yaiba Hashira Training Arc,https://hianime.to/demon-slayer-kimetsu-no-yaiba-hashira-training-arc-19045,
https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/bx130256-UYTHvIGIwa3R.jpg,Murai in Love,https://hianime.to/murai-in-love-19314?ref=search,
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx168139-nGLXIdSksKCI.jpg,I’ll Become a Villainess Who Goes Down in History,https://hianime.to/ill-become-a-villainess-who-goes-down-in-history-19334?ref=search,
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx177104-8fQUQdXGZG8j.jpg,The Most Notorious Talker Runs the World's Greatest Clan,https://hianime.to/the-most-notorious-talker-runs-the-worlds-greatest-clan-19353,Season Favorite
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx164299-j4yHiK4j1ON7.jpg,The Do-Over Damsel Conquers The Dragon Emperor,https://hianime.to/the-do-over-damsel-conquers-the-dragon-emperor-19341,
https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/bx132029-prGF4gePdSKv.jpg,Dandadan,https://hianime.to/dandadan-19319?ref=search,
