ImageURL,Name,URL,
https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/bx130687-yny5jDh62wbA.jpg,Alya Sometimes Hides Her Feelings in Russian,https://hianime.to/alya-sometimes-hides-her-feelings-in-russian-19254?ref=search,
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx170695-Nb1DIg7gIHCF.jpg,I Parry Everything,https://hianime.to/i-parry-everything-19229,Season Favorite
https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/bx126268-c3BmsZ0LlJWr.png,Days with My Stepsister,https://hianime.to/days-with-my-stepsister-19251,Season Favorite
https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/bx134121-OehExfhVVGdq.png,Dungeon no Naka no Hito,https://hianime.to/dungeon-people-19218,Season Favorite
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx166531-dAL5MsqDHUkj.jpg,Oshi No Ko Season 2,https://hianime.to/my-star-season-2-19256,
