ImageURL,Name,URL,
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx179813-cLHpUPV1IiEm.jpg,Rooster Fighter,https://aniwatchtv.to/rooster-fighter-20566?ref=search,Blanon
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx197754-Q5KqcUhIdypp.png,Liar Game,https://aniwatchtv.to/liar-game-20611,Blanon
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx199547-LAaG3cmKCGhr.jpg,Marriagetoxin,https://allmanga.to/bangumi/2NxpL4ikTQvnri9Cm,Blanon
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx187869-LUn3dyTzuKUq.jpg,Botan Kamiina Fully Blossoms When Drunk,https://aniwatchtv.to/botan-kamiina-fully-blossoms-when-drunk-20671,Blanon
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx177508-Ajz9UrU5SsQ0.jpg,"Kujima: Why Sing, When You Can Warble?",https://aniwatchtv.to/kujima-why-sing-when-you-can-warble-20734?ref=search,Blanon
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/nx16049-FbOhOsQAuisF.jpg,Toaru Kagaku no Railgun S,https://allmanga.to/bangumi/nfATrGGCBS3NMJXdS,Shanon
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx104462-KrVWRvPcR7ci.jpg,Toaru Kagaku no Railgun T,https://isekai2nd.com/30-recommended-anime-on-amazon-prime-video-popular-works-that-both-children-and-adults-can-enjoy,Shanon
https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/bx166742-io6yR2XeJiEh.jpg,The Ramparts of Ice,https://allmanga.to/bangumi/Frp8xJDSeLh6wEHNk,E-Lissa
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx113415-LHBAeoZDIsnF.jpg,Jujutsu Kaisen,https://anigo.to/watch/jujutsu-kaisen-r6w8#ep=24,Marco
https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/bx149893-qnlHSlaeWtDx.png,Kanan-sama wa Akumade Choroi,https://allmanga.to/bangumi/d3oFDagz5LvzmQANG,
https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/bx143031-TP062dcP0V8C.jpg,Aishiteru Game wo Owarasetai,https://allmanga.to/bangumi/4WHmErbXS5ZvygpCT,
https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/bx148082-kW0qmds2laKs.jpg,Class de 2-banme ni Kawaii Onnanoko to Tom,https://allmanga.to/bangumi/gdcikK9DNZ5b3fKpR,Season Favorite
https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/bx163184-f94NIm3WAANY.jpg,"Replica datte, Koi wo Suru.",https://youtu-chan.com/archives/18653,
https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx174576-tpKcHG0eO6CS.jpg,Tsue to Tsurugi no Wistoria,https://youtu-chan.com/archives/18646,Season Favorite
